ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
Q12164	0.228553368446939	27.1780781420122	1.27777524235062	0.2369532832395	0.344599345555727	-6.64801273950554
Q00578	0.228536840979054	26.1148159912836	1.76376439258651	0.115559275033928	0.19975883505589	-6.00774772433349
P40527	0.228438137453992	28.1995168694076	3.41898870874748	0.00902091731343305	0.0281309003585066	-3.44281306845181
P06168	0.22803951583964	35.8453241045055	4.09281497039609	0.00342865063175266	0.0136362830963361	-2.418882900898
P48563	0.22755230607947	27.8558954886191	2.58075247026946	0.0324213364309211	0.0754331613767683	-4.76454965222782
Q06263	0.226955814104716	27.324724468181	0.981307255665112	0.35501831280725	0.471252601583194	-6.97117961685469
P54858	0.226381870293981	28.0790953494897	2.12610302638357	0.0659921604066525	0.129993356828692	-5.47211395750001
P40499	0.226361510180247	24.7167697279741	2.29094752493045	0.0510027759946511	0.106632888570538	-5.21861072620247
P41818	0.226295040430024	29.0203394706995	2.12525009530535	0.0660800399175914	0.130084701697068	-5.4734130148873
Q08921	0.224870874506593	24.8609699141505	0.703530093885145	0.501569829208002	0.606684617806978	-7.21164874938634
Q12306	0.22478483809423	30.6403255397084	2.54251586518398	0.0344142829985054	0.0791301268652354	-4.82486516747474
P0C5N3	0.224367164045052	25.1504780725387	1.16731060949286	0.27650594727655	0.387034229015055	-6.77555520855844
P53039	0.223538768195425	24.5512303307101	2.00496128357002	0.079689327674857	0.150434094131054	-5.6550570439001
P36017	0.221757938573969	30.396137243624	2.55563143814167	0.0337170180525301	0.0778123229577537	-4.80418617589796
Q06704	0.221739075231355	28.9290682618099	2.27100076786521	0.052619665146652	0.109211940774574	-5.24951819413294
P38304	0.221172662955052	27.1353858868655	1.89461407193868	0.0945336219503806	0.172550012342745	-5.81856209824574
P60010	0.220948917001095	35.8396594667272	3.25218474454644	0.0115696423075822	0.0342391491897663	-3.70339528451196
P47127	0.220664821224645	29.0405856597787	2.70552697152319	0.0266994039436884	0.0651764379293245	-4.56724482164532
Q12051	0.220460794356264	26.5345328885666	1.69070514537996	0.129136108834935	0.217587400585314	-6.11079969580107
P53871	0.220217323347974	25.1441878926652	1.41785332164023	0.193771073361585	0.295800557192015	-6.47556912214429
P06197	0.219663715968114	27.8403828450893	1.26684331599256	0.240643905801112	0.348511090933773	-6.6609824621131
Q04179	0.219502474338171	27.1247638682126	1.38111231595038	0.204380807131395	0.307503336317711	-6.52188065881539
P17891	0.218778182705378	30.8153628791066	2.55186738317291	0.0339156455833562	0.0782131223386597	-4.810121966895
P07170	0.218637416032372	33.8524415364233	1.79134321021812	0.110790537455708	0.193220670220473	-5.96834382576085
P38821	0.218309514847714	30.0504811973459	3.48360825095669	0.0081995771462944	0.0261685079190292	-3.34249504507211
P36068	0.217507620765161	27.3161390305844	2.16344171541203	0.062255541887153	0.124954966892094	-5.41510693770185
P25626	0.217462138218966	27.7402501189322	1.58948816189425	0.150391187531211	0.243705264592976	-6.25007530825551
P19658	0.21743180572129	27.2090397677438	2.81181820511478	0.0226459990193188	0.0573284013946246	-4.3988473784625
P21576	0.216837484403115	32.3238816755931	4.20718402467886	0.00292827828072714	0.0121391853595223	-2.25060254539979
P47057	0.216626314609037	27.5831918417534	1.35151262076539	0.213291816513175	0.318009777807941	-6.55864503470627
P38875	0.216244139487973	28.8441263445678	2.43657348012044	0.0406101297464923	0.0891608098868563	-4.99144156728161
P12709	0.216040138063576	36.0515527082356	3.77198814847393	0.00539160384444467	0.0192103306069311	-2.89991509802178
P18239	0.215996842938019	34.2588333170951	3.23447529155147	0.0118817099051703	0.0349317812784276	-3.73118407358467
P36520	0.215138380017187	27.3329961054115	1.57978580930969	0.152588093545803	0.24599335657024	-6.26319586542959
P38523	0.21513119030126	31.2216850110266	2.0333280647239	0.0762530312910887	0.145304085867553	-5.61251679264658
P07262	0.214899351161414	35.2767692155375	2.16026058261884	0.0625656086058749	0.125081918136484	-5.41997404736304
P47166	0.214712741238753	27.3382624195153	2.27297335663943	0.0524575197710092	0.109019805677946	-5.24646422395631
Q12415	0.214009742834072	27.3459249379582	1.18376210757757	0.270292172399837	0.381001995040908	-6.75706691992854
P35180	0.213859636961029	30.625839523384	1.95396410548246	0.086247326046554	0.160125776545418	-5.73102919602906
Q05949	0.213646556941445	25.8693957322564	2.09018818077971	0.069793494565003	0.135690330004168	-5.52668612361918
P40008	0.213243254865979	29.3897313713081	2.57751118464523	0.0325856259556363	0.0756469272184919	-4.76966584547571
P46956	0.212392858561259	29.2193432563839	2.00279977411986	0.0799572347498359	0.150610101030894	-5.65829053006828
Q05934	0.211432259700398	26.6431469612901	0.598505300245415	0.565963507892396	0.664318214881936	-7.28441050006588
P38934	0.21120426361805	34.0438445330119	4.05996674674572	0.0035888425386041	0.0140242300698071	-2.46753526082861
P36076	0.21027940886761	26.9832906306809	0.772802433364162	0.461731517867563	0.572189235665062	-7.15799177143352
P36531	0.210237399651845	26.7887843128527	2.22424079404043	0.0566124776796668	0.115963075194821	-5.32173947480142
Q04372	0.210094223643914	26.5371757315857	1.03540736043514	0.330587402473901	0.446193333054783	-6.91692314003857
P47018	0.209364548544073	31.0855994971403	2.50106144990877	0.03671586816127	0.0827572624744238	-4.89014942229808
Q12072	0.209015846436245	27.2632926012113	2.47146219863197	0.0384541221006733	0.0854112109592558	-4.93668506350607
P47158	0.208726701876017	26.9578005884057	0.979174448132103	0.356008772581946	0.471967636747809	-6.97327204221095
A5Z2X5	0.208583135560112	29.6651805799937	1.6893484845357	0.129401700585529	0.217800714089714	-6.11269415286604
Q12028	0.208504997624246	28.9380796899567	4.25238851635583	0.00275273117836334	0.0115489417844588	-2.18457449718056
Q12326	0.208338909799462	26.8913180764461	1.31107978743951	0.226003218656733	0.332688627181869	-6.60804944880662
P12695	0.208180177570007	32.8847395889462	2.83361325047023	0.021896381211305	0.0560259428993925	-4.36430704326272
P11433	0.208119967457055	30.4785197301423	2.63309704227911	0.0298820255391802	0.0709471727574172	-4.68185327095333
P43613	0.20801568407223	27.4430900808876	1.72250590059053	0.123053502599165	0.210048843761319	-6.06618916498761
P34163	0.207596791129902	26.7438472189822	1.85738021351144	0.100114839063835	0.17939388543514	-5.87295331956213
P53292	0.206973681239674	29.0092892947289	1.68172021330568	0.130904514777973	0.219622456806299	-6.12333289348605
Q99278	0.206923934696245	26.1734502324516	1.15088311290001	0.282826196651328	0.393420905594879	-6.79383301395097
Q01532-2;Q01532	0.206763709433559	30.6952031976961	3.40237664304207	0.00924583899685904	0.0286328650357275	-3.46866278033938
Q02767	0.20655268263161	26.8100445993604	1.59450808156619	0.149265848809115	0.242126832996429	-6.24327042680172
P22082	0.206480580394508	26.2249414892692	0.409810011385825	0.692637353685281	0.774153162071922	-7.38764966736925
P01123	0.205280512766759	31.9847346449013	2.57266543256981	0.0328328221762556	0.0761643706146446	-4.77731351408185
P09938	0.204980648006128	32.8457129836326	3.08213602269127	0.0149604590416575	0.0416667502018755	-3.97102100112002
